,timestamp,time_granted,V
226,2021-08-06 18:55:10,68110.0,(333.14215543331676+89.67331974028738j)
227,2021-08-06 19:00:10,68410.0,(337.6400695441926+70.88147457687924j)
228,2021-08-06 19:05:10,68710.0,(333.9172036358155+86.7427294707594j)
229,2021-08-06 19:10:10,69010.0,(328.7532314862192+104.62462801543604j)
230,2021-08-06 19:15:10,69310.0,(331.68420580446343+94.92411505967459j)
231,2021-08-06 19:20:10,69610.0,(339.2149455629914+62.91439188847667j)
232,2021-08-06 19:25:10,69910.0,(325.60497142479534+114.04561623954777j)
233,2021-08-06 19:30:10,70210.0,(331.80459216359327+94.50244768867906j)
234,2021-08-06 19:35:10,70510.0,(337.4244925319271+71.90070819937348j)
235,2021-08-06 19:40:10,70810.0,(336.7347918303223+75.06450540028558j)
236,2021-08-06 19:45:10,71110.0,(326.8609291892273+110.39444265702394j)
237,2021-08-06 19:50:10,71410.0,(330.3095939879921+99.60206885144403j)
238,2021-08-06 19:55:10,71710.0,(328.24655957663265+106.20355985608091j)
239,2021-08-06 20:00:10,72010.0,(326.24343830143454+112.20614495319803j)
240,2021-08-06 20:05:10,72310.0,(337.7926424727181+70.15077113830226j)
241,2021-08-06 20:10:10,72610.0,(335.1350232310377+81.91163655996523j)
242,2021-08-06 20:15:10,72910.0,(335.20488556810636+81.62526993078005j)
243,2021-08-06 20:20:10,73210.0,(333.02549119818144+90.10561698479165j)
244,2021-08-06 20:25:10,73510.0,(328.63007402939013+105.01083012450464j)
245,2021-08-06 20:30:10,73810.0,(327.68601268009445+107.92069817148594j)
246,2021-08-06 20:35:10,74110.0,(336.09339262227786+77.88601566165383j)
247,2021-08-06 20:40:10,74410.0,(335.29287553571055+81.26307657844693j)
248,2021-08-06 20:45:10,74710.0,(331.9069878029952+94.14218739514376j)
249,2021-08-06 20:50:10,75010.0,(332.5383355989425+91.88718820970129j)
250,2021-08-06 20:55:10,75310.0,(328.7505212547562+104.63314376776646j)
251,2021-08-06 21:00:10,75610.0,(326.6460283798613+111.02869963961051j)
252,2021-08-06 21:05:10,75910.0,(337.7874104944348+70.17595964049352j)
253,2021-08-06 21:10:10,76210.0,(333.3213245711835+89.00502562278024j)
254,2021-08-06 21:15:10,76510.0,(334.72849366499287+83.55737866140151j)
255,2021-08-06 21:20:10,76810.0,(342.34890672920477+42.68753988365072j)
256,2021-08-06 21:25:10,77110.0,(336.5750594422652+75.77749904447668j)
257,2021-08-06 21:30:10,77410.0,(333.9424905399973+86.6453288524187j)
258,2021-08-06 21:35:10,77710.0,(336.52890727146365+75.98219903816037j)
259,2021-08-06 21:40:10,78010.0,(337.83523664796104+69.94535637922047j)
260,2021-08-06 21:45:10,78310.0,(332.9405857646846+90.41883847223814j)
261,2021-08-06 21:50:10,78610.0,(332.3442181511255+92.5868276890244j)
262,2021-08-06 21:55:10,78910.0,(332.9430017537607+90.4099418382473j)
263,2021-08-06 22:00:10,79210.0,(329.3692228741859+102.66895842100901j)
264,2021-08-06 22:05:10,79510.0,(329.84335625822183+101.13535648976445j)
265,2021-08-06 22:10:10,79810.0,(325.30748537364315+114.89142683367176j)
266,2021-08-06 22:15:10,80110.0,(324.24765592603507+117.8493004920758j)
267,2021-08-06 22:20:10,80410.0,(337.4506061276374+71.77804973729877j)
268,2021-08-06 22:25:10,80710.0,(327.18666440327763+109.42525593599026j)
