# timestamp,positive_sequence_voltage,distribution_load_real,distribution_load_reac
8/2/2021 7:00,199186,1408540,860361
8/2/2021 7:05,199186,1456180,862409
8/2/2021 7:10,199186,1494760,870040
8/2/2021 7:15,199186,1480330,867753
8/2/2021 7:20,199186,1543400,880256
8/2/2021 7:25,199186,1480820,874223
8/2/2021 7:30,199186,1486270,868748
8/2/2021 7:35,199186,1477810,875067
8/2/2021 7:40,199186,1538150,885040
8/2/2021 7:45,199186,1502770,881459
8/2/2021 7:50,199186,1597450,889457
8/2/2021 7:55,199186,1601470,894585
8/2/2021 8:00,199186,1571300,892344
8/2/2021 8:05,199186,1571840,891223
8/2/2021 8:10,199186,1522160,896161
8/2/2021 8:15,199186,1542140,902302
8/2/2021 8:20,199186,1575430,904492
8/2/2021 8:25,199186,1520250,893074
8/2/2021 8:30,199186,1577660,914273
8/2/2021 8:35,199186,1621460,931813
8/2/2021 8:40,199186,1685750,919769
8/2/2021 8:45,199186,1681580,908155
8/2/2021 8:50,199186,1677900,904918
8/2/2021 8:55,199186,1646290,912633
8/2/2021 9:00,199186,1627980,904412
8/2/2021 9:05,199186,1675320,910552
8/2/2021 9:10,199186,1580400,895271
8/2/2021 9:15,199186,1542510,887309
8/2/2021 9:20,199186,1546380,889624
8/2/2021 9:25,199186,1601040,901171
8/2/2021 9:30,199186,1601350,898232
8/2/2021 9:35,199186,1558360,896441
8/2/2021 9:40,199186,1520380,893255
8/2/2021 9:45,199186,1559110,897307
8/2/2021 9:50,199186,1566050,898126
8/2/2021 9:55,199186,1550200,898079
8/2/2021 10:00,199186,1499260,898271
8/2/2021 10:05,199186,1490690,908942
8/2/2021 10:10,199186,1500850,911039
8/2/2021 10:15,199186,1490170,914270
8/2/2021 10:20,199186,1409620,912429
8/2/2021 10:25,199186,1314020,916236
8/2/2021 10:30,199186,1270120,916539
8/2/2021 10:35,199186,1426880,939572
8/2/2021 10:40,199186,1452600,924889
8/2/2021 10:45,199186,1475140,930991
8/2/2021 10:50,199186,1491840,915919
8/2/2021 10:55,199186,1515860,928027
8/2/2021 11:00,199186,1524320,926396
8/2/2021 11:05,199186,1499700,939190
8/2/2021 11:10,199186,1391600,928079
